name,code,userType,category,description
Update Operations User,UPDATE_OPS_USER,ADMIN,,Update Operations User
Update Operations User,UPDATE_OPS_STATUS,ADMIN,,Update Operations User Activation Status
Delete Operations User,DELETE_OPS_USER,ADMIN,,Delete Operations User
Add Operations User,ADD_OPS_USER,ADMIN,,Add Operations User
Request History Management,REQUEST_HISTORY,OPERATIONS,,Request History Management
View Retail Users,GET_RETAIL_USER,OPERATIONS,,View Retail Users
View Retail Users,GET_RETAIL_USER,OPERATIONS,,View Retail Users
View User Details,GET_RETAIL_USER,RETAIL,,View Retail User Details
Delete Retail User,DELETE_RETAIL_USER,OPERATIONS,,Delete Retail User
Update Retail User Details,UPDATE_RETAIL_USER,RETAIL,,Update Retail User Details
Update Retail User Details,UPDATE_RETAIL_USER,OPERATIONS,,Update Retail User Details
Get Roles,GET_ROLE,ADMIN,,Get System Roles
Add Roles,ADD_ROLE,ADMIN,,Add System Roles
Update Roles,UPDATE_ROLE,ADMIN,,Update System Roles
Delete Role,DELETE_ROLE,ADMIN,,Delete Role
Get Transaction Limits,GET_TRANS_LIMIT,OPERATIONS,,Get Transaction Limits
Update Transaction Limit,UPDATE_TRANS_LIMIT,OPERATIONS,,Update Transaction Limit
Add Transaction Limit,ADD_TRANS_LIMIT,OPERATIONS,,Add Transaction Limit
Delete Transaction Limit,DELETE_TRANS_LIMIT,OPERATIONS,,Delete Transaction Limit
Perform Transfer,MAKE_TRANSFER,RETAIL,,Perform Transfer
Get Tranfers,GET_TRANSFER,RETAIL,,Get Transfers
Get User groups,GET_USER_GRP,ADMIN,,Get User groups
Add User Group,ADD_USER_GRP,ADMIN,,Add User Group
Update User Group,UPDATE_USER_GRP,ADMIN,,Update User Group
Delete User Group,DELETE_USER_GRP,ADMIN,,Delete User Group
View No of Unattended Requests,UNATTENDED_REQUESTS,OPERATIONS,,No of Unattended Requests
Get Service Requests,GET_SERVICE_REQUEST,OPERATIONS,,Get Service Requests
Get Service Requests,GET_SERVICE_REQUEST,RETAIL,,Get Service Requests
Add Service Request,ADD_SERVICE_REQUEST,RETAIL,,Add Service Request
Add Service Request,ADD_SERVICE_REQUEST,CORPORATE,,Add Service Request
Get Service Requests,GET_SERVICE_REQUEST,CORPORATE,,Get Service Requests
Get Service Request Configurations,GET_SERV_REQ_CONFIG,CORPORATE,,Get Service Request Configurations
Get User groups,GET_USER_GRP,RETAIL,,Get User groups
Get User groups,GET_USER_GRP,CORPORATE,,Get User groups
Get Codes,GET_CODES,CORPORATE,,Get Configuration Codes
Get Code,GET_CODE,CORPORATE,,Get Configuration Codes
Get Service Request Configurations Ops,GET_SERV_REQ_CONFIG,OPERATIONS,,Get Service Request Configurations Ops
Get Codes,GET_CODES,OPERATIONS,,Get Configuration Codes
Get Code,GET_CODE,OPERATIONS,,Get Configuration Codes
Get Finanacial Institutions,GET_FIN_INST,RETAIL,,Get Finanacial Institutions
Get Role,GET_ROLE,RETAIL,,Get Role
Get Role,GET_ROLE,CORPORATE,,Get Role
Manage corporate users,USER_MANAGEMENT,CORPORATE,,Manages corporate users
User Management for ops,USER_MANAGEMENT,OPERATIONS,,User Management for ops
Update Retail Status,UPDATE_RETAIL_STATUS,OPERATIONS,,Update Retail User Activation Status
Add FAQ,ADD_FAQ,ADMIN,,Add Frequently Asked Questions
Update,UPDATE_FAQ,ADMIN,,Update Frequently asked questions
Delete FAQ,DELETE_FAQ,ADMIN,,Delete Frequently Asked Questions
Add Security Question,AD_SQ,ADMIN,,Add Security Question for customers
Update Security Question,UPDATE_SQ,ADMIN,,Update Security Question
Delete Security Question,DELETE_SQ,ADMIN,,Delete Security Questions for customers
Add Corporate Role,ADD_CORPORATE_ROLE,OPERATIONS,,Adds corporate approval role
Update Corporate Role,UPDATE_CORPORATE_ROLE,OPERATIONS,,Updates corporate approval role
Delete Corporate Role,DELETE_CORPORATE_ROLE,OPERATIONS,,Delete corporate approval role
Manage tokens,TOKEN_MANAGEMENT,ADMIN,,Manages tokens
Direct Debit Order,DIRECT_DEBIT,CORPORATE,,Direct Debit menu
Transfer Request,TRANSFER_REQUEST,CORPORATE,,Transfer Request Menu
Manage Bil Payment,MANAGE_BILL_PAYMENT,CORPORATE,,Manage Bill Payment Menu
