id,delFlag,deletedOn,version,bankName,branchName,sortCode
134,N,,0,ACCESSBANKPLC,MALUMFASHIBRANCH,44132963
135,N,,0,ACCESSBANKPLC,BIRNINKEBBIBRANCH,44270317
136,N,,0,ACCESSBANKPLC,LOKOJABRANCH,44280899
137,N,,0,ACCESSBANKPLC,OBAJANABRANCH,44280640
138,N,,0,ACCESSBANKPLC,OKENEBRANCH,44281733
139,N,,0,ACCESSBANKPLC,FOLAWIYOSTREETBRANCH,44141404
140,N,,0,ACCESSBANKPLC,ILORINBRANCH,44140395
141,N,,0,ACCESSBANKPLC,RESERVATIONROADBRANCH,44143101
142,N,,0,ACCESSBANKPLC,ADENIJIADELEBRANCH,44153159
143,N,,0,ACCESSBANKPLC,ADENIRANOGUNSANYABRANCH,44151290
144,N,,0,ACCESSBANKPLC,ADENIYIJONESBRANCH,44150440
145,N,,0,ACCESSBANKPLC,STFINBARRSROADBRANCH,44150482
146,N,,0,ACCESSBANKPLC,ADEOLAHOPEWELLBRANCH,44151339
147,N,,0,ACCESSBANKPLC,ADEOLAODEKUBRANCH,44151106
148,N,,0,ACCESSBANKPLC,ADEOLAODEKUBRANCH,44152642
149,N,,0,ACCESSBANKPLC,ADETOKUNBOADEMOLABRANCH,44150660
150,N,,0,ACCESSBANKPLC,ADETOKUNBOHADEMOLAVIBRANCH,44152312
151,N,,0,ACCESSBANKPLC,ADEYEMOALAKIJABRANCH,44151038
152,N,,0,ACCESSBANKPLC,AGBARABRANCH,44151025
153,N,,0,ACCESSBANKPLC,AGEGEBRANCH,44152118
154,N,,0,ACCESSBANKPLC,AGUDABRANCH,44150042
155,N,,0,ACCESSBANKPLC,AGUDOSIBRANCH,44151216
156,N,,0,ACCESSBANKPLC,AJAOESTATEBRANCH,44151009
157,N,,0,ACCESSBANKPLC,AJOSEADEOGUNBRANCH,44151986
158,N,,0,ACCESSBANKPLC,ALABAINTLMKTBRANCH,44150686
159,N,,0,ACCESSBANKPLC,ALAGBADOBRANCH,44151423
160,N,,0,ACCESSBANKPLC,ALAUSABRANCH,44151164
161,N,,0,ACCESSBANKPLC,ALFREDREWANEROAD,44151287
162,N,,0,ACCESSBANKPLC,ALLENAVENUEBRANCH,44152600
163,N,,0,ACCESSBANKPLC,ALLENAVENUEBRANCH,44150084
164,N,,0,ACCESSBANKPLC,ASPAMDABRANCH,44150673
165,N,,0,ACCESSBANKPLC,ATIKUABUBAKARHALLBRANCH,44150466
166,N,,0,ACCESSBANKPLC,AWOLOWOROADBRANCH,44151119
167,N,,0,ACCESSBANKPLC,AWOLOWOROADBRANCH,44151711
168,N,,0,ACCESSBANKPLC,KEFFISTREETBRANCH,44153298
169,N,,0,ACCESSBANKPLC,AYOBOBRANCH,44152480
170,N,,0,ACCESSBANKPLC,BODETHOMASBRANCH,44152697
171,N,,0,ACCESSBANKPLC,BROADSTREETBRANCH,44150039
172,N,,0,ACCESSBANKPLC,BROADSTREETBRANCH,44151533
173,N,,0,ACCESSBANKPLC,BURMAROADAPAPABRANCH,44150013
174,N,,0,ACCESSBANKPLC,COMMERCIALROADBRANCH,44150327
175,N,,0,ACCESSBANKPLC,CREEKROADBRANCH,44150453
176,N,,0,ACCESSBANKPLC,TINCANBRANCH,44150479
177,N,,0,ACCESSBANKPLC,DALEKOBRANCH,44153133
178,N,,0,ACCESSBANKPLC,DOPEMUBRANCH,44153214
179,N,,0,ACCESSBANKPLC,EGBEDABRANCH,44152354
180,N,,0,ACCESSBANKPLC,EJIGBOBRANCH,44152503
181,N,,0,ACCESSBANKPLC,FESTACBRANCH,44150819
182,N,,0,ACCESSBANKPLC,GBAGADABRANCH,44151960
183,N,,0,ACCESSBANKPLC,IDDOBRANCH,44151957
184,N,,0,ACCESSBANKPLC,IDEJOSTREETBRANCH,44150291
185,N,,0,ACCESSBANKPLC,IDI-ARABABRANCH,44151012
186,N,,0,ACCESSBANKPLC,IDIMUBRANCH,44153120
187,N,,0,ACCESSBANKPLC,IDUMOTABRANCH,44150026
188,N,,0,ACCESSBANKPLC,IFAKO-GBAGADABRANCH,44151630
189,N,,0,ACCESSBANKPLC,IJESHATEDOBRANCH,44152723
190,N,,0,ACCESSBANKPLC,IJUBRANCH,44153010
191,N,,0,ACCESSBANKPLC,IKORODUBRANCH,44150068
192,N,,0,ACCESSBANKPLC,IKORODUBRANCH,44151517
193,N,,0,ACCESSBANKPLC,IKORODUROADBRANCH,44151999
194,N,,0,ACCESSBANKPLC,IKOTABRANCH,44150657
195,N,,0,ACCESSBANKPLC,IKOTUNBRANCH,44152396
196,N,,0,ACCESSBANKPLC,ILUPEJUBRANCH,44150835
197,N,,0,ACCESSBANKPLC,ILUPEJUBRANCH,44151834
198,N,,0,ACCESSBANKPLC,IPAJABRANCH,44150505
199,N,,0,ACCESSBANKPLC,IREAKARIBRANCH,44152794
200,N,,0,ACCESSBANKPLC,ISOLOBRANCH,44151821
201,N,,0,ACCESSBANKPLC,ISSAWILLIAMSBRANCH,44150521
202,N,,0,ACCESSBANKPLC,KETUBRANCH,44152079
203,N,,0,ACCESSBANKPLC,KOSOKOSTREETBRANCH,44152286
204,N,,0,ACCESSBANKPLC,LASUBRANCH,44152613
205,N,,0,ACCESSBANKPLC,LAWANSONBRANCH,44153007
206,N,,0,ACCESSBANKPLC,LEKKIBRANCH,44151973
207,N,,0,ACCESSBANKPLC,LEKKICHEVRONBRANCH,44151054
208,N,,0,ACCESSBANKPLC,LIGALIAYORINDEBRANCH,44150822
209,N,,0,ACCESSBANKPLC,MARINAB.O.I.BRANCH,44151083
210,N,,0,ACCESSBANKPLC,MARINABRANCH,44151368
211,N,,0,ACCESSBANKPLC,MARYLANDBRANCH,44150712
212,N,,0,ACCESSBANKPLC,MATORIBRANCH,44151261
213,N,,0,ACCESSBANKPLC,MAZAMAZABRANCH,44151300
214,N,,0,ACCESSBANKPLC,MOLONEYBRANCH,44151740
215,N,,0,ACCESSBANKPLC,MURIOKUNOLABRANCH,44152985
216,N,,0,ACCESSBANKPLC,MURITALAMOHAMEDWAYBRANCH,44152587
217,N,,0,ACCESSBANKPLC,MUSHINBRANCH,44152736
218,N,,0,ACCESSBANKPLC,NAHCOBRANCH,44152024
219,N,,0,ACCESSBANKPLC,NNAMDIAZIKWEIDUMOTABRANCH,44152325
220,N,,0,ACCESSBANKPLC,OBAAKRANBRANCH,44151708
221,N,,0,ACCESSBANKPLC,OBAFEMIAWOLOWOWAYBRANCH,44152273
222,N,,0,ACCESSBANKPLC,ODOGUNYANBRANCH,44152367
223,N,,0,ACCESSBANKPLC,OGBABRANCH,44150880
224,N,,0,ACCESSBANKPLC,OGUNLANADRIVEBRANCH,44150738
225,N,,0,ACCESSBANKPLC,OJODUBERGERBRANCH,44151193
226,N,,0,ACCESSBANKPLC,OJOTABRANCH,44152309
227,N,,0,ACCESSBANKPLC,OJUELEGBABRANCH,44152370
228,N,,0,ACCESSBANKPLC,OLDALABAMOTORPARKBRANCH,44152451
229,N,,0,ACCESSBANKPLC,OLDOJOBRANCH,44150495
230,N,,0,ACCESSBANKPLC,OLODI-APAPABRANCH,44150848
231,N,,0,ACCESSBANKPLC,ONIKANBRANCH,44150152
232,N,,0,ACCESSBANKPLC,OPEBIBRANCH,44152066
233,N,,0,ACCESSBANKPLC,OREGUNBRANCH,44152752
234,N,,0,ACCESSBANKPLC,ORILECOKERBRANCH,44152082
235,N,,0,ACCESSBANKPLC,OROYINYINBRANCH,44152529
236,N,,0,ACCESSBANKPLC,OSHODIBRANCH,44153117
237,N,,0,ACCESSBANKPLC,PALMAVENUEBRANCH,44150518
238,N,,0,ACCESSBANKPLC,POINTROADBRANCH,44150851
239,N,,0,ACCESSBANKPLC,SABOBRANCH,44152804
240,N,,0,ACCESSBANKPLC,SAKATINUBUBRANCH,44152998
241,N,,0,ACCESSBANKPLC,SATELLITETOWNBRANCH,44152257
242,N,,0,ACCESSBANKPLC,SIMBIATABIOLABRANCH,44150534
243,N,,0,ACCESSBANKPLC,SOMOLUBRANCH,44152406
244,N,,0,ACCESSBANKPLC,STFINBARRSBRANCH,44151669
245,N,,0,ACCESSBANKPLC,TEJUOSHOBRANCH,44151562
246,N,,0,ACCESSBANKPLC,TOYINSTREETBRANCH,44151245
247,N,,0,ACCESSBANKPLC,TRADEFAIRBRANCH,44152668
248,N,,0,ACCESSBANKPLC,UNIVERSITYOFLAGOSBRANCH,44152749
249,N,,0,ACCESSBANKPLC,VICTORIAISLANDBRANCH,44150149
250,N,,0,ACCESSBANKPLC,WHARFROADBRANCH,44152053
251,N,,0,ACCESSBANKPLC,LAFIABRANCH,44360751
252,N,,0,ACCESSBANKPLC,MARARABABRANCH,44362788
253,N,,0,ACCESSBANKPLC,BIDABRANCH,44162975
254,N,,0,ACCESSBANKPLC,MINNABRANCH,44160401
255,N,,0,ACCESSBANKPLC,MINNABRANCH,44163220
256,N,,0,ACCESSBANKPLC,SULEJABRANCH,44161934
257,N,,0,ACCESSBANKPLC,SULEJADEPOTCASHCENTRE,44162001
258,N,,0,ACCESSBANKPLC,COVENANTBRANCH,44172473
259,N,,0,ACCESSBANKPLC,FAJUYIROADBRANCH,44170378
260,N,,0,ACCESSBANKPLC,IJEBU-ODEBRANCH,44172428
261,N,,0,ACCESSBANKPLC,ILAROBRANCH,44172389
262,N,,0,ACCESSBANKPLC,OKEILEWOBRANCH,44171461
263,N,,0,ACCESSBANKPLC,OTTABRANCH,44172266
